River,Location,pH,Turbidity,Temperature,DO,BOD,EC,Nitrate,Fecal_Coliform,City,Latitude,Longitude
Mahanadi,C,8.63,14.25,27.56,3.03,8.42,471.02,4.11,316,Cuttack,20.4625,85.8828
Narmada,A,8.6,13.5,25.67,4.38,6.83,712.13,20.18,3085,Amarkantak,22.6744,81.7597
Yamuna,B,8.42,6.87,25.87,8.24,9.72,445.86,0.23,1666,New Delhi,28.6139,77.209
Kaveri,B,8.37,11.93,27.7,5.77,7.43,438.22,27.75,2702,Mysuru,12.2958,76.6394
Narmada,E,6.91,7.67,25.23,3.82,9.32,483.41,3.46,1774,Bharuch,21.7051,72.9959
Mahanadi,B,6.24,7.97,21.87,3.33,5.65,611.99,2.94,285,Sambalpur,21.4669,83.9812
Yamuna,D,7.21,3.87,18.35,4.66,2.05,773.52,10.06,3371,Agra,27.1767,78.0081
Ganga,B,6.52,9.28,29.68,9.52,5.75,105.17,11.27,1411,Kanpur,26.4499,80.3319
Godavari,E,8.08,3.61,17.2,4.74,2.14,90.08,6.51,4743,Kakinada,16.9891,82.2475
Godavari,B,7.04,5.64,27.92,9.9,6.33,753.16,17.6,1785,Nanded,19.16,77.31
Godavari,D,8.93,12.97,17.37,5.88,5.34,447.41,13.34,3391,Rajahmundry,17.0005,81.804
Narmada,A,7.92,3.9,26.38,3.43,6.6,511.18,1.12,4060,Amarkantak,22.6744,81.7597
Ganga,E,8.47,2,29.18,9.13,1.09,411.82,9.66,3470,Kolkata,22.5726,88.3639
Narmada,A,6.4,1.97,17.03,5.68,2.75,120.24,24.33,1890,Amarkantak,22.6744,81.7597
Kaveri,A,8.59,14.17,13.38,7.68,5.42,626.07,20.72,3845,Kodagu,12.3375,75.8069
Narmada,A,8.77,8.1,15.01,9.87,9.55,610.42,21.77,4288,Amarkantak,22.6744,81.7597
Ganga,C,7.46,6.73,25.94,2.4,4.45,283.78,20.97,1854,Patna,25.5941,85.1376
Ganga,C,7.82,12.35,31.54,2.77,4.82,279.68,9.4,3387,Patna,25.5941,85.1376
Kaveri,A,8.29,12.7,13.03,7.76,7.43,678.38,3.08,81,Kodagu,12.3375,75.8069
Ganga,E,6.52,5.65,28.89,4.25,6.43,104.27,8.25,1686,Kolkata,22.5726,88.3639
Mahanadi,D,7.51,10.71,19.85,3.47,3.69,710.83,24.97,1305,Bhubaneswar,20.2961,85.8245
Ganga,D,7.2,11.8,23.01,2.31,4.7,242.5,29.42,1053,Varanasi,25.3176,82.9739
Godavari,B,6.44,10.17,33.36,2.17,2.96,494.74,14.87,2635,Nanded,19.16,77.31
Mahanadi,E,7.1,3.12,19.64,8.2,9.69,752,0.39,3052,Paradip,20.316,86.6103
Mahanadi,C,6.2,13.26,22.7,3.08,2.18,558.59,4.29,824,Cuttack,20.4625,85.8828
Kaveri,A,6.08,8.55,12.31,5.74,4.35,360.82,9.73,2204,Kodagu,12.3375,75.8069
Brahmaputra,B,6.41,4.95,13.88,6.85,1.23,567.15,17.4,3510,Tezpur,26.633,92.8
Brahmaputra,D,8.89,6.95,17.95,5.43,3,307.98,2.35,319,Goalpara,26.17,90.62
Ganga,C,7.65,1.53,12.64,2.22,8.02,257.94,28.31,2071,Patna,25.5941,85.1376
Mahanadi,C,8.9,2.79,26.52,8.27,2.81,797.51,11.02,4237,Cuttack,20.4625,85.8828
Brahmaputra,A,7.3,11.72,21.81,2.08,1.72,613.09,27.39,1887,Dibrugarh,27.4728,94.911
Brahmaputra,D,6.94,1,24.61,8.1,5.27,533.54,23.44,2812,Goalpara,26.17,90.62
Ganga,E,7.52,6.83,16.02,9.15,1.09,316.47,22.69,2496,Kolkata,22.5726,88.3639
Brahmaputra,C,7.32,8.32,18.81,5.46,1.76,86.87,18.24,4845,Guwahati,26.1445,91.7362
Narmada,A,6.32,1.76,27.27,6.28,8.27,73.29,18.84,3755,Amarkantak,22.6744,81.7597
Yamuna,E,7.92,14.62,34.2,5.82,7.94,465.64,19.18,804,Prayagraj,25.4358,81.8463
Kaveri,D,6.65,4.17,13.16,5.11,9.24,621.52,18.9,4024,Tiruchirappalli,10.7905,78.7047
Yamuna,C,7.86,5.26,32.48,9.1,8.69,453.03,16.66,4363,Mathura,27.4924,77.6737
Ganga,E,7.95,5.26,25.27,9.15,7.15,680.59,29.59,3417,Kolkata,22.5726,88.3639
Godavari,E,6.46,4.23,24.97,4.69,1.47,75.07,22,2466,Kakinada,16.9891,82.2475
Kaveri,E,6.18,1.02,23.51,6.92,8.05,325.06,23.33,1861,Thanjavur,10.787,79.1378
Ganga,C,8.34,11.21,13.6,9.42,8.61,227.8,26.19,984,Patna,25.5941,85.1376
Mahanadi,C,7.38,14.54,14.07,9.7,8.19,385.45,6.55,1057,Cuttack,20.4625,85.8828
Godavari,B,6.17,4.14,25.82,6.07,5.58,104.28,2.61,4376,Nanded,19.16,77.31
Yamuna,D,8.98,10.28,19.84,5.62,3.1,765.6,14.54,4247,Agra,27.1767,78.0081
Ganga,A,6.17,11.39,33.1,4.23,8.61,217.44,15.47,3799,Rishikesh,30.0869,78.2676
Mahanadi,E,8.09,12.88,21.35,9.67,7.54,741.73,24.89,3031,Paradip,20.316,86.6103
Kaveri,B,8.95,6.92,15.3,3.14,9.83,369.42,13.37,4379,Mysuru,12.2958,76.6394
Kaveri,A,6.72,5.24,28.44,6.64,2.4,789.14,17.17,4039,Kodagu,12.3375,75.8069
Krishna,B,6.43,5.55,18.75,4.26,3.03,465.54,15.86,474,Sangli,16.8524,74.5815
Mahanadi,C,6.36,10.98,24.09,4.23,2.91,748.12,1.24,297,Cuttack,20.4625,85.8828
Narmada,E,6.91,12.43,28.05,5.24,8.13,54.01,18.49,3205,Bharuch,21.7051,72.9959
Brahmaputra,A,6.3,3.54,32.71,9.99,2.68,611.18,24.86,885,Dibrugarh,27.4728,94.911
Godavari,A,8.08,6.19,30.22,2.44,1.6,727.29,4.81,2002,Nashik,19.9975,73.7898
Mahanadi,A,6.19,13.63,27.56,6.63,9.99,154.79,17.87,2935,Raipur,21.2514,81.6296
Krishna,A,7.53,12.29,27.63,2.66,1.22,122.09,17.85,1130,Mahabaleshwar,17.9307,73.6477
Brahmaputra,A,8.99,14.79,33.76,3.24,8.52,368.43,5.01,456,Dibrugarh,27.4728,94.911
Brahmaputra,B,8.44,11.56,18.8,5.52,4.29,750.26,3.79,2842,Tezpur,26.633,92.8
Ganga,E,7.85,6.5,12.03,6.08,8.57,456.79,29.4,3578,Kolkata,22.5726,88.3639
Brahmaputra,C,6.92,9.27,18.25,4.07,5.99,445.59,11.87,2906,Guwahati,26.1445,91.7362
Narmada,C,7.87,10.25,17.01,4.53,9.11,155.84,6.9,731,Hoshangabad,22.7441,77.7369
Kaveri,C,7.58,2.1,27.22,2.7,9.34,50.59,5.22,2173,Erode,11.341,77.7172
Krishna,C,7.28,8.62,26.58,4.43,1.08,657.61,20.06,2592,Vijayawada,16.5062,80.648
Brahmaputra,B,6.39,10.93,25.65,9.73,1.68,115.68,18.32,1361,Tezpur,26.633,92.8
Ganga,D,8.66,3.34,12.37,9.56,3.25,525.39,19.34,3990,Varanasi,25.3176,82.9739
Narmada,E,7.35,11.93,28.76,4.68,7.02,735.96,2.73,4512,Bharuch,21.7051,72.9959
Yamuna,A,6.58,9.17,19.44,6.57,8.99,206.49,26.82,3394,Uttarkashi,30.7298,78.4434
Kaveri,D,7.1,14.33,27.3,9.28,5.14,548.95,11.74,1735,Tiruchirappalli,10.7905,78.7047
Kaveri,C,7.24,1.59,24.8,2.05,6.46,109.02,9.47,703,Erode,11.341,77.7172
Krishna,D,8.48,4.71,19.88,8.49,2.7,502.82,13.92,3423,Guntur,16.3067,80.4365
Kaveri,E,8.2,9.42,15.1,9.59,8.24,172.95,11.76,504,Thanjavur,10.787,79.1378
Brahmaputra,A,8.31,5.15,14.17,2.73,9.71,601.97,25.92,957,Dibrugarh,27.4728,94.911
Ganga,A,6.03,11,31.12,3.29,3.42,275.92,27.88,32,Rishikesh,30.0869,78.2676
Kaveri,E,7.25,11.63,33.12,9.69,5.45,397.54,9.17,1138,Thanjavur,10.787,79.1378
Kaveri,E,7.44,2.44,26.95,6.3,1.78,499.57,25.93,567,Thanjavur,10.787,79.1378
Yamuna,C,6.06,8.19,14.38,2.11,6.03,178.46,23.47,1626,Mathura,27.4924,77.6737
Yamuna,A,6.78,8.12,21.25,4.06,5.53,606.23,27.93,3740,Uttarkashi,30.7298,78.4434
Godavari,D,8.28,6.17,28.77,5.6,2.3,276.98,7.45,1666,Rajahmundry,17.0005,81.804
Narmada,B,6.41,14.06,29.94,7.54,4.98,546.78,17.35,4183,Jabalpur,23.1815,79.9864
Brahmaputra,B,7.61,12.59,14.72,7.87,4.01,168.71,8.31,816,Tezpur,26.633,92.8
Kaveri,E,6.65,10.76,12,9.96,5.7,566.09,24.74,3322,Thanjavur,10.787,79.1378
Mahanadi,C,6.04,11,28.38,4.3,6.27,146.14,0.26,4873,Cuttack,20.4625,85.8828
Kaveri,B,6.72,7.46,20.2,6.31,1.08,369.02,16.99,463,Mysuru,12.2958,76.6394
Ganga,A,8.93,13.89,17.85,6.27,7.85,235.4,10.24,2985,Rishikesh,30.0869,78.2676
Godavari,E,8.4,10.72,12.3,5.25,7.42,611.28,9.75,2334,Kakinada,16.9891,82.2475
Narmada,D,8.88,11.21,24.43,3.35,4.3,246.53,19.38,1457,Vadodara,22.3072,73.1812
Mahanadi,E,7.46,13.06,31.58,9.82,1.48,711.29,25.56,2571,Paradip,20.316,86.6103
Godavari,D,6.33,4.84,34.03,8.83,7.79,718.87,18.31,2521,Rajahmundry,17.0005,81.804
Krishna,E,7.64,12.3,25.01,5.99,9.6,197.33,25.61,2881,Machilipatnam,16.1875,81.1389
Narmada,E,7.36,3.73,23.83,6.83,3.16,510.38,8.01,372,Bharuch,21.7051,72.9959
Kaveri,E,8.53,5.83,13.96,3.82,3.91,115.79,15.63,3464,Thanjavur,10.787,79.1378
Kaveri,D,6.29,5.7,24.62,6.35,2.65,343.65,13.57,2808,Tiruchirappalli,10.7905,78.7047
Narmada,D,7.46,14.7,20.74,7.56,6.19,584.99,0.45,4630,Vadodara,22.3072,73.1812
Kaveri,E,6.45,12.99,25.96,6.12,2.39,544.57,16.75,3463,Thanjavur,10.787,79.1378
Brahmaputra,B,6.97,10.82,20.94,9.92,4.21,518.53,19.88,3265,Tezpur,26.633,92.8
Narmada,C,8.21,11.18,17.53,6.89,7.27,261.91,17.8,1227,Hoshangabad,22.7441,77.7369
Godavari,C,7.43,8.87,14.18,4.97,6.04,333.52,22.11,1495,Adilabad,19.6667,78.5333
Narmada,C,7.13,14.26,19.24,8.18,4.48,127.21,17.18,2113,Hoshangabad,22.7441,77.7369
Mahanadi,D,7.18,7.95,14.22,3.36,4.78,589.27,2.1,2546,Bhubaneswar,20.2961,85.8245
Kaveri,D,7.38,6.33,16.07,5.08,6.06,427.92,3.58,1865,Tiruchirappalli,10.7905,78.7047
Brahmaputra,B,8.36,3.28,34.71,4.78,1.05,581.57,17.93,4827,Tezpur,26.633,92.8
Brahmaputra,C,8.68,12.01,22.21,5.45,1.71,236.71,8.32,1217,Guwahati,26.1445,91.7362
Krishna,C,8.87,11.28,24.23,8.25,8.93,293.33,2.48,1458,Vijayawada,16.5062,80.648
Godavari,E,8.36,6.38,32.09,5.87,1.7,300.66,12.95,1517,Kakinada,16.9891,82.2475
Yamuna,D,6.95,1.35,34.9,8.35,7.36,69.31,16.67,1013,Agra,27.1767,78.0081
Yamuna,C,8.06,12.75,25.4,6.61,9.28,305.79,9.93,935,Mathura,27.4924,77.6737
Narmada,B,7.31,1.16,30.69,4.74,3.44,652.48,21.64,4961,Jabalpur,23.1815,79.9864
Krishna,B,6.76,10.85,19.52,8.48,4.33,722.97,19.35,93,Sangli,16.8524,74.5815
Ganga,C,8.52,14.58,19.03,3.91,6.12,438.66,10.05,3752,Patna,25.5941,85.1376
Narmada,D,6.12,7.13,21.26,3.8,8.94,391.63,22.67,3937,Vadodara,22.3072,73.1812
Krishna,B,8.71,4.29,27.47,6.04,9.48,73.12,19.5,1552,Sangli,16.8524,74.5815
Godavari,E,7.38,10.87,27.69,4.09,7.66,709.4,19.16,995,Kakinada,16.9891,82.2475
Godavari,B,7.91,12.44,19.25,2.07,1.78,59.76,16.65,4241,Nanded,19.16,77.31
Godavari,A,7.98,8.65,15.06,7.19,7.02,758.56,0.44,918,Nashik,19.9975,73.7898
Godavari,A,8.69,14.54,26.55,6.09,4.69,416.91,20.93,2918,Nashik,19.9975,73.7898
Godavari,D,7.91,1.72,14.95,5.56,5.24,306.45,11.34,4695,Rajahmundry,17.0005,81.804
Krishna,C,7.84,8.07,25.31,9.74,1.44,743.16,28.28,2747,Vijayawada,16.5062,80.648
Krishna,D,6.2,11.06,27.95,6.57,2.72,68.29,24.56,2596,Guntur,16.3067,80.4365
Brahmaputra,D,7.56,13.08,28.11,8.91,8.11,486.07,17.67,1153,Goalpara,26.17,90.62
Mahanadi,D,6.45,3.51,29.33,3.12,5.09,461.7,7.64,1341,Bhubaneswar,20.2961,85.8245
Yamuna,D,8.21,12.2,32.08,6.55,3.71,214.49,6.19,3358,Agra,27.1767,78.0081
Kaveri,E,7.54,8.74,23.5,8.94,4.46,371.67,10.28,1563,Thanjavur,10.787,79.1378
Godavari,E,8.04,6.55,28.8,6.66,8.69,539.2,14.35,2352,Kakinada,16.9891,82.2475
Ganga,B,6.13,2.84,26.24,7.74,7.74,595.35,8.95,1816,Kanpur,26.4499,80.3319
Kaveri,A,6.25,13.11,16.29,4.98,3.45,50.54,15.5,2110,Kodagu,12.3375,75.8069
Krishna,D,8.15,3.2,12.59,2.74,2.06,752.64,5.04,815,Guntur,16.3067,80.4365
Ganga,B,6.22,5.34,18.54,5.66,3.27,173.39,29.33,4157,Kanpur,26.4499,80.3319
Ganga,A,6.21,5.06,22.19,5.16,9.29,225.19,3.33,2785,Rishikesh,30.0869,78.2676
Ganga,C,6.04,13.2,26.19,8.94,6.23,247.61,27.97,81,Patna,25.5941,85.1376
Brahmaputra,E,8.87,10.42,31.55,3.95,5.8,78.37,27.42,37,Dhubri,26.0222,89.9856
Krishna,A,8.21,12.15,16.51,9.73,6.37,142.29,15.81,478,Mahabaleshwar,17.9307,73.6477
Ganga,C,7.06,4.51,14.89,9.67,4.29,789.76,21.77,3993,Patna,25.5941,85.1376
Godavari,A,6.89,9.75,34.16,3.98,8.26,286.41,13.14,773,Nashik,19.9975,73.7898
Narmada,E,7.05,9,14.49,4.78,5.71,136.48,18.94,1434,Bharuch,21.7051,72.9959
Ganga,E,8.32,12.66,23.01,9.16,2.05,130.24,10.28,2258,Kolkata,22.5726,88.3639
